prompt,model,pair,is_base,total,refused,scoreable,correct,accuracy,coverage,latency_p50_ms,latency_p95_ms,latency_mean_ms,cost_total_usd,cost_mean_usd,cost_per_correct_usd,prompt_tokens_total,completion_tokens_total,error_count,parse_error_count,precision,recall,f1
,deepseek-v4-flash,deepseek-v4-flash,1,10,0,10,10,1.0000,1.0000,4277.2,11926.2,5127.2,0.001432,0.00014317,0.00014317,17491,633,0,0,1.0000,1.0000,1.0000
,qwen3.6-flash,qwen3.6-flash,,10,0,10,10,1.0000,1.0000,8564.2,11827.3,8739.6,0.014219,0.00142185,0.00142185,17536,9716,0,0,1.0000,1.0000,1.0000
,gpt-5.4-nano,gpt-5.4-nano,,10,0,10,10,1.0000,1.0000,3343.4,12666.6,4508.7,0.004156,0.00041562,0.00041562,17806,476,0,0,1.0000,1.0000,1.0000
,nemotron-3-super-120b-a12b,nemotron-3-super-120b-a12b,,10,0,10,10,1.0000,1.0000,9621.5,33354.4,12179.7,0.002914,0.00029144,0.00029144,17475,1650,0,0,1.0000,1.0000,1.0000
,mercury-2,mercury-2,,7,3,7,7,1.0000,1.0000,5229.1,6168.7,4109.6,0.000819,0.00011697,0.00011697,13691,297,0,0,1.0000,1.0000,1.0000
,gemma-4-31b,gemma-4-31b,,10,0,10,10,1.0000,1.0000,7855.2,10660.1,8329.1,0.001751,0.00017506,0.00017506,17451,341,0,0,1.0000,1.0000,1.0000
